,N,P,K,temperature,humidity,ph,rainfall,label,coastal sands,deltaic soils,laterite soils,alluvial soils,red soils,mountain soils,forest soils,black soils
0,0.5142857142857142,0.24,0.24571428571428572,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,0,1,0,1,0,0,0,1
1,0.46195652173913043,0.31521739130434784,0.22282608695652173,21.77046169,80.31964408,7.038096361,226.6555374,rice,0,1,0,1,0,0,0,1
2,0.37735849056603776,0.34591194968553457,0.27672955974842767,23.00445915,82.3207629,7.840207144,263.9642476,rice,0,1,0,1,0,0,0,1
3,0.4966442953020134,0.2348993288590604,0.2684563758389262,26.49109635,80.15836264,6.980400905,242.8640342,rice,0,1,0,1,0,0,0,1
4,0.48148148148148145,0.25925925925925924,0.25925925925925924,20.13017482,81.60487287,7.628472891,262.7173405,rice,0,1,0,1,0,0,0,1
5,0.46621621621621623,0.25,0.28378378378378377,23.05804872,83.37011772,7.073453503,251.0549998,rice,0,1,0,1,0,0,0,1
6,0.42592592592592593,0.3395061728395062,0.2345679012345679,22.70883798,82.63941394,5.70080568,271.3248604,rice,0,1,0,1,0,0,0,1
7,0.5026737967914439,0.28342245989304815,0.21390374331550802,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,0,1,0,1,0,0,0,1
8,0.49171270718232046,0.2983425414364641,0.20994475138121546,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,0,1,0,1,0,0,0,1
9,0.4146341463414634,0.35365853658536583,0.23170731707317074,23.22397386,83.03322691,6.336253525,221.2091958,rice,0,1,0,1,0,0,0,1
10,0.4945652173913043,0.28804347826086957,0.21739130434782608,26.52723513,81.41753846,5.386167788,264.6148697,rice,0,1,0,1,0,0,0,1
11,0.5056179775280899,0.25842696629213485,0.23595505617977527,23.97898217,81.45061596,7.50283396,250.0832336,rice,0,1,0,1,0,0,0,1
12,0.43333333333333335,0.32222222222222224,0.24444444444444444,26.80079604,80.88684822,5.108681786,284.4364567,rice,0,1,0,1,0,0,0,1
13,0.5027027027027027,0.3027027027027027,0.1945945945945946,24.01497622,82.05687182,6.98435366,185.2773389,rice,0,1,0,1,0,0,0,1
14,0.5193370165745856,0.27624309392265195,0.20441988950276244,25.66585205,80.66385045,6.94801983,209.5869708,rice,0,1,0,1,0,0,0,1
15,0.40816326530612246,0.32653061224489793,0.2653061224489796,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,0,1,0,1,0,0,0,1
16,0.5182926829268293,0.23170731707317074,0.25,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,0,1,0,1,0,0,0,1
17,0.5515151515151515,0.21212121212121213,0.23636363636363636,23.79391957,80.41817957,6.970859754,206.2611855,rice,0,1,0,1,0,0,0,1
